ID,Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
397,Adem Bona,9,5.8,4.2,0.5
398,Quenton Jackson,28,5.8,1.6,1.9
399,Javonte Green,15,5.8,3.6,0.9
400,Drew Eubanks,30,5.8,4.5,1.2
401,Robert Williams III,29,5.8,5.9,1.1
402,Dariq Whitehead,19,5.7,1.5,0.6
403,Moussa Diabate,13,5.7,6.2,0.8
404,Landry Shamet,11,5.7,1.2,0.5
405,Jordan Goodwin,4,5.6,3.9,1.4
406,Lindy Waters III,16,5.5,2.6,1.1
407,Aaron Holiday,26,5.5,1.3,1.3
408,Markieff Morris,4,5.5,1.9,2.1
409,Caleb Martin,5,5.4,2.9,1.9
410,Wendell Moore Jr.,13,5.4,3.2,1.2
411,Keaton Wallace,18,5.4,1.6,2.6
412,Dean Wade,20,5.4,4.2,1.3
413,Jonathan Isaac,12,5.4,4.4,0.6
414,Jeff Green,26,5.4,1.8,0.6
415,Alex Reese,9,5.3,3.3,0.3
416,Ben Sheppard,28,5.3,2.8,1.3
417,Kobe Bufkin,18,5.3,2.1,1.7
418,Maxwell Lewis,19,5.3,2.5,0.8
419,Jamal Cain,15,5.3,2.3,0.6
420,Pat Connaughton,2,5.3,2.7,1.7
421,Kyle Anderson,16,5.3,3.1,2.3
422,Kevin Love,22,5.3,4.1,1
423,Jabari Walker,29,5.2,3.5,0.6
424,Monte Morris,8,5.2,1.5,1.6
425,Mitchell Robinson,11,5.1,5.9,0.8
426,Bismack Biyombo,17,5.1,5.6,1.1
427,Alondes Williams,10,5,0,1
428,Malaki Branham,17,5,1.1,0.8
429,Neemias Queta,7,5,3.8,0.7
430,Trevelin Queen,12,4.9,1.7,1.2
431,Marvin Bagley III,27,4.9,2.9,0.4
432,Jock Landale,26,4.8,3.3,0.9
433,Taylor Hendricks,30,4.7,5,0.7
434,Cody Williams,30,4.6,2.3,1.2
435,Pelle Larsson,22,4.6,1.7,1.2
436,Julian Phillips,21,4.6,2.1,0.5
437,Mo Bamba,24,4.6,4.3,0.6
438,Zach Collins,17,4.6,2.8,1.4
439,Rob Dillingham,6,4.5,1,2
440,Jett Howard,12,4.5,1.2,0.7
