Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
Wendell Moore Jr.,10,3.2,2.2,1.2
Zeke Nnaji,3,3.2,1.6,0.4
Moses Brown,28,3.2,1.4,0
Cam Reddish,4,3.2,2,0.7
JT Thor,20,3.1,0.7,0.1
Patty Mills,24,3.1,0.1,0.4
Patrick Baldwin Jr.,24,3,1.5,0.5
P.J. Tucker,11,3,2.7,0
Rayan Rupert,29,3,1.3,0.5
Taze Moore,29,3,4,0.5
Kylor Kelley,5,3,2.6,0.3
Maxi Kleber,5,3,2.8,1.3
Gary Harris,12,3,1.3,0.6
AJ Johnson,2,2.9,1,1
Tyler Smith,2,2.9,1.1,0.2
Markelle Fultz,14,2.9,1,1.3
Ben Simmons,24,2.9,3.8,3.1
Taj Gibson,13,2.9,3.2,0.6
RayJ Dennis,28,2.7,1.1,1.3
Keshad Johnson,22,2.7,1.8,0.3
Reece Beekman,19,2.7,1.1,1.8
David Duke Jr.,17,2.7,0.8,0.7
Drew Eubanks,24,2.7,2.4,0.4
Torrey Craig,7,2.7,2.8,0.7
Trey Jemison,4,2.6,2.8,0.3
Hunter Tyson,3,2.6,1.5,0.4
Josh Minott,6,2.6,1,0.4
Jae Crowder,14,2.6,2.2,0.7
Chuma Okeke,20,2.5,2,1
Mo Bamba,15,2.5,6.3,0.5
MarJon Beauchamp,11,2.5,1.5,0.2
Dillon Jones,1,2.5,2.2,1.1
Pat Spencer,16,2.5,1.2,1.2
Anthony Gill,27,2.5,1.3,0.3
Jordan McLaughlin,17,2.5,0.5,1.5
Delon Wright,2,2.5,1.8,1.8
Trey Jemison,15,2.4,2.8,0.6
Christian Koloko,4,2.4,2.5,0.4
Johnny Davis,27,2.4,1.1,0.3
Jericho Sims,2,2.4,4.9,0.8
John Konchar,23,2.4,3.3,0.9
Miles Norris,7,2.3,3,0
Bronny James,4,2.3,0.7,0.8
Lester Quinones,9,2.3,1,0.3
Mason Jones,14,2.3,0.9,1.1
Drew Peterson,7,2.2,1.6,0.5
TyTy Washington Jr.,8,2.2,0.8,1
Kai Jones,24,2.2,1.6,0.4
Alex Len,4,2.2,3.1,0.8
Enrique Freeman,28,2.1,1.4,0.4
Johnny Furphy,28,2.1,1.4,0.4
Pete Nance,9,2.1,1.4,0.4
JD Davison,7,2.1,0.8,0.8
Patrick Baldwin Jr.,27,2.1,1,0.1
Orlando Robinson,14,2.1,1.6,1
Chris Duarte,21,2.1,1.2,0.5
Dwight Powell,5,2.1,2.1,1
Sidy Cissoko,29,2,2.2,1.8
Tyler Kolek,11,2,0.7,1.7
Alex Reese,1,2,1,0
Adama Sanogo,21,2,1.5,0.3
Jalen Hood-Schifino,4,2,0.5,0.5
MarJon Beauchamp,2,2,1.2,0.3
Josh Christopher,22,2,0.6,0.6
Bobi Klintman,10,1.9,0.9,0.9
Kobe Brown,24,1.9,1.6,0.6
Ariel Hukporti,11,1.9,2,0.4
Jordan McLaughlin,14,1.9,0.8,0.9
Garrett Temple,25,1.9,1,1.1
Jahmir Young,21,1.8,0.5,1
Trentyn Flowers,24,1.8,0.7,0
Adam Flagler,1,1.8,0.7,0.3
E.J. Liddell,21,1.8,0.8,0.3
Vlatko Cancar,3,1.8,2.5,0.7
Emanuel Miller,21,1.7,1.3,0.3
Alex Ducas,1,1.7,1.2,0.2
Pacome Dadiet,11,1.7,1,0.3
PJ Hall,3,1.7,1.2,0.2
Jaden Springer,7,1.7,0.9,0.4
Markieff Morris,5,1.7,1.1,0.6
Tristan Thompson,20,1.7,3.4,0.6
Phillip Wheeler,9,1.6,1.6,0.4
Yuki Kawamura,23,1.6,0.5,0.9
Armel Traore,4,1.6,1.7,0.1
Jordan Walsh,7,1.6,1.3,0.4
Jericho Sims,11,1.6,3.3,0.6
Jack McVeigh,26,1.6,0.6,0.1
Kevin McCullar Jr.,11,1.5,2,0.5
Quincy Olivari,4,1.5,0,0.5
Jazian Gortman,5,1.5,0.3,0.4
Leonard Miller,6,1.5,0.8,0
Matt Ryan,11,1.5,0.4,0.2
Cam Christie,24,1.4,0.9,0.5
Chris Livingston,2,1.4,1.7,0.2
Trey Alexander,3,1.4,0.5,0.5
Colin Castleton,23,1.4,0.9,0
Alex Len,14,1.4,1.8,0.8
Bones Hyland,6,1.3,0.3,1
Skal Labissiere,14,1.3,0.8,0.3
Spencer Jones,3,1.3,0.9,0.3
Sidy Cissoko,17,1.3,0.6,0.4
Jalen Bridges,8,1.1,0.5,0
Colby Jones,14,1.1,1,0.3
Braxton Key,16,1,0.7,0
Daniss Jenkins,10,1,0.3,0.4
Yuri Collins,16,1,1.5,2
Jaylen Martin,19,1,0,0
Reece Beekman,16,1,0.5,0.5
Luke Travers,20,1,1.7,0.7
Jared Rhoden,13,1,1,0.5
Bryce McGowens,29,1,0.2,0.2
Xavier Tillman,7,1,1.3,0.2
Elfrid Payton,13,1,2.2,3.3
Anton Watson,11,0.9,0.3,0.2
Isaiah Crawford,14,0.9,0.5,0.1
