ID,Name,Team,Current?,Position,Age,Games Played,Minutes/Game,Usage %,Turnover %,Free Throw Attempts,Free Throw %,2-pt Attempts,2-Point %,3-pt Attempts,3-Point %,Effective FG %,True Shooting %,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turovers per Game,Points + Rebounds,Points + Assists,Points + Rebounds + Assists,Versatility Index,Offensive Rating,Defensive Rating,Team ID,,,Unique team IDs,
99,Christian Braun,Den,*,G,24,79,33.9,15.8,9,214,0.827,596,0.649,225,0.396,0.634,0.665,15.4,5.2,2.6,1.1,0.5,1,20.6,18,23.2,7,132.1,113.5,3,,,,
100,Jared McCain,Phi,*,G,21.1,23,25.7,24.7,11.9,56,0.875,141,0.532,133,0.383,0.553,0.589,15.3,2.4,2.6,0.7,0,1.6,17.7,17.9,20.3,7.1,113.4,117.9,9,,,,
101,Mark Williams,Cha,*,C,23.3,44,26.6,21.4,13.7,163,0.804,443,0.609,4,0,0.604,0.647,15.3,10.2,2.5,0.7,1.2,1.6,25.4,17.7,27.9,11,126.3,106.5,13,,,,
102,Jonathan Kuminga,Gol,*,F,22.5,47,24.3,27.3,11.1,235,0.668,417,0.508,151,0.305,0.495,0.535,15.3,4.6,2.2,0.8,0.4,1.5,19.9,17.5,22.1,8.8,107.9,107.5,16,,,,
103,Kyle Kuzma,Was,,F,29.7,32,27.7,27.1,13.8,98,0.602,295,0.495,160,0.281,0.469,0.488,15.2,5.8,2.5,0.6,0.2,2.3,21,17.7,23.4,8.7,92.8,116.6,27,,,,
104,Kelly Oubre Jr.,Phi,*,F-G,29.3,60,34.6,18.9,9.7,185,0.751,499,0.555,242,0.293,0.518,0.551,15.1,6.1,1.8,1.5,0.5,1.3,21.2,16.9,23,6.4,111.1,112.2,9,,,,
105,Chet Holmgren,Okc,*,C-F,23,32,27.4,22.1,14.1,134,0.754,225,0.547,116,0.379,0.554,0.599,15,8,2,0.7,2.2,1.8,23,16.9,25,9.1,115.5,101,1,,,,
106,Caris LeVert,Atl,*,G,30.6,26,26.6,21.2,7.4,72,0.722,165,0.6,136,0.338,0.558,0.583,14.9,3.7,2.9,0.9,0.5,0.9,18.6,17.8,21.5,8.2,119.5,113.1,18,,,,
107,Stephon Castle,San,*,G,20.4,81,26.7,26,15.2,344,0.724,655,0.501,333,0.285,0.476,0.522,14.7,3.7,4.1,0.9,0.3,2.2,18.4,18.8,22.5,9.1,105.5,114.2,17,,,,
108,P.J. Washington,Dal,*,F,26.6,57,32.2,20.4,15.1,198,0.722,426,0.493,239,0.381,0.521,0.556,14.7,7.8,2.3,1.1,1.1,2.1,22.4,17,24.7,8,106.6,110,5,,,,
109,Aaron Gordon,Den,*,F,29.6,51,28.4,19,12.8,179,0.81,325,0.582,172,0.436,0.607,0.65,14.7,4.8,3.2,0.5,0.3,1.4,19.5,17.9,22.7,8.6,128.4,115.2,3,,,,
